Protein.IDs,Majority.protein.IDs,gene,rectum
ENSP00000468749.1;ENSP00000341208.4;ENSP00000465437.1;ENSP00000443107.1;ENSP00000407327.1;ENSP00000464730.2;ENSP00000466320.1,ENSP00000468749.1;ENSP00000341208.4;ENSP00000465437.1;ENSP00000443107.1,STAT5A; STAT5A; STAT5A; STAT5A; STAT5A; STAT5A; STAT5A,3124200
ENSP00000341214.4,ENSP00000341214.4,H1-6,0
ENSP00000477529.1;ENSP00000341219.6;ENSP00000383428.2;ENSP00000262608.10,ENSP00000477529.1;ENSP00000341219.6;ENSP00000383428.2;ENSP00000262608.10,CECR2; CECR2; CECR2; CECR2,0
ENSP00000341247.4,ENSP00000341247.4,GSPT2,13070000
ENSP00000341264.4,ENSP00000341264.4,LRP1,0
ENSP00000341267.5;ENSP00000275036.7,ENSP00000341267.5,HMGN3; HMGN3,19610000
ENSP00000341268.4;ENSP00000462591.1,ENSP00000341268.4;ENSP00000462591.1,TRADD; TRADD,2088700000
ENSP00000380478.3;ENSP00000341280.2,ENSP00000380478.3;ENSP00000341280.2,JARID2; JARID2,0
ENSP00000341289.4;ENSP00000472481.1,ENSP00000341289.4,TUBB4B; TUBB4A,1.1851e+10
ENSP00000341292.5;ENSP00000444465.1;ENSP00000433548.3;ENSP00000441972.1;ENSP00000313059.6;ENSP00000392542.2;ENSP00000446253.1;ENSP00000460651.1,ENSP00000341292.5;ENSP00000444465.1;ENSP00000433548.3;ENSP00000441972.1;ENSP00000313059.6,WNK1; WNK1; WNK1; WNK1; WNK1; WNK1; WNK1; WNK1,24563000
ENSP00000341324.4,ENSP00000341324.4,SRFBP1,1302700
ENSP00000433734.1;ENSP00000341342.3,ENSP00000433734.1;ENSP00000341342.3,KLHL6; KLHL6,973570
ENSP00000341344.4;ENSP00000321288.8;ENSP00000390416.1;ENSP00000384030.3,ENSP00000341344.4;ENSP00000321288.8;ENSP00000390416.1,GGA1; GGA1; GGA1; GGA1,20136000
ENSP00000341346.2;ENSP00000458518.1;ENSP00000460197.2;ENSP00000460359.1,ENSP00000341346.2,TEKT1; TEKT1; TEKT1; TEKT1,722430
ENSP00000341347.5,ENSP00000341347.5,HM13,0
ENSP00000451845.1;ENSP00000341351.5;ENSP00000452052.1;ENSP00000451551.1;ENSP00000374647.6;ENSP00000451394.1,ENSP00000451845.1;ENSP00000341351.5;ENSP00000452052.1;ENSP00000451551.1,DCAF5; DCAF5; DCAF5; DCAF5; DCAF5; DCAF5,1223000
ENSP00000341358.2;ENSP00000349970.4;ENSP00000399124.1;ENSP00000402480.1;ENSP00000414490.1;ENSP00000389398.1;ENSP00000416402.1;ENSP00000408840.1,ENSP00000341358.2;ENSP00000349970.4;ENSP00000399124.1;ENSP00000402480.1,ERGIC3; ERGIC3; ERGIC3; ERGIC3; ERGIC3; ERGIC3; ERGIC3; ERGIC3,23254000
